@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}

@data
22,'2020/06/08 14:56:46:311',2,-789.719238,-255.100784,-306.779022,-161.288528,-894.962341,-436.034576,-233.30426,-330.041595,-0.616644,-0.622484,-6.817832,-202.83873,542.83197,-212.21373,-113.034172,-402.260132,611.39978,-402.238403,1,1
23,'2020/06/08 14:56:46:388',2,-788.408752,-255.545761,-309.384918,-160.692917,-894.363037,-434.875854,-234.959122,-328.144562,-0.614556,-0.630775,-6.598599,-202.782578,542.846252,-211.972443,-112.6017,-402.222656,611.503479,-401.837463,1,1
24,'2020/06/08 14:56:46:463',2,-788.029724,-256.634369,-309.156219,-160.915085,-893.390076,-435.591034,-234.199615,-328.026581,-0.601897,-0.639454,-5.365051,-202.185333,542.581665,-212.106659,-112.05764,-402.010132,611.80127,-401.46463,1,1
25,'2020/06/08 14:56:46:532',2,-787.253052,-257.908356,-307.879761,-161.199646,-894.716064,-435.197815,-233.629196,-329.476257,-0.604027,-0.632045,-0.830196,-201.743561,543.598083,-211.84581,-112.008583,-399.006439,611.706909,-402.301147,1,1
26,'2020/06/08 14:56:46:602',2,-786.329529,-257.311401,-307.980957,-160.851074,-894.640137,-433.91806,-233.085861,-330.247314,-0.610229,-0.630529,-0.039697,-200.769302,542.544434,-213.325043,-111.607674,-398.887634,611.354492,-402.438629,1,1
27,'2020/06/08 14:56:46:670',2,0.145853,-200.398895,544.845947,-211.326935,-111.15609,-398.400818,611.326477,-401.269592,-0.429136,-0.376444,-786.763489,-255.986328,-308.095581,-163.004684,-894.89624,-433.772675,-234.37056,-331.73053,1,1
28,'2020/06/08 14:56:46:740',2,0.143044,-200.401627,544.856812,-211.322571,-111.15889,-398.394135,611.331787,-401.260773,-0.429115,-0.37647,-787.865051,-254.987305,-307.864075,-163.365356,-896.099915,-433.842773,-232.867477,-332.028076,1,1
29,'2020/06/08 14:56:46:817',2,-787.866943,-254.986343,-307.863831,-163.365448,-896.101929,-433.840942,-232.867737,-332.026825,-0.598802,-0.633687,0.102878,-199.73024,543.813538,-210.977707,-111.75631,-397.098053,610.61145,-400.363495,1,1
30,'2020/06/08 14:56:46:888',2,-787.866272,-254.985275,-307.862152,-163.366287,-896.102478,-433.839203,-232.86554,-332.027252,-0.598794,-0.633687,0.857562,-199.30748,544.803467,-208.766785,-110.520393,-396.57193,611.439453,-400.332031,1,1
31,'2020/06/08 14:56:46:961',2,0.857562,-199.30748,544.803467,-208.766785,-110.520393,-396.57193,611.439453,-400.332031,-0.42348,-0.374649,-787.731995,-254.564102,-306.960968,-163.684875,-896.715576,-433.030609,-233.331802,-332.526917,1,1
