@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
67,'2020/04/21 19:58:11:824',8,-521.846619,-509.659424,372.877289,3.932953,2
68,'2020/04/21 19:58:11:949',8,-528.427246,-510.025269,372.423492,4.820138,2
69,'2020/04/21 19:58:12:072',8,-530.468384,-512.052185,371.857666,5.135641,2
70,'2020/04/21 19:58:12:195',8,-530.071838,-511.457336,372.730103,5.687207,2
71,'2020/04/21 19:58:12:326',8,-529.574341,-512.210999,372.246277,5.576119,2
72,'2020/04/21 19:58:12:454',8,-527.955322,-512.570374,371.807526,5.525276,2
73,'2020/04/21 19:58:12:581',8,-518.580688,-519.483948,371.470215,4.75575,2
74,'2020/04/21 19:58:12:705',8,-518.580994,-519.480469,371.471832,4.756123,2
75,'2020/04/21 19:58:12:848',8,-518.910522,-519.881592,371.75354,4.496008,2
76,'2020/04/21 19:58:12:986',8,-518.88147,-519.828613,371.721466,4.509866,2
77,'2020/04/21 19:58:13:111',8,-518.862183,-519.865662,371.722534,4.52663,2
78,'2020/04/21 19:58:13:234',8,-517.662109,-523.486938,373.058777,6.120786,2
79,'2020/04/21 19:58:13:356',8,-517.662109,-523.486938,373.058777,6.120786,2
80,'2020/04/21 19:58:13:486',8,-517.823547,-523.595886,373.045105,6.135673,2
81,'2020/04/21 19:58:13:617',8,-523.192932,-520.757019,374.468903,5.440548,2
82,'2020/04/21 19:58:13:748',8,-524.710815,-515.90155,375.607788,6.100789,2
83,'2020/04/21 19:58:29:497',9,-405.557343,-872.693726,380.324829,9.529188,3
84,'2020/04/21 19:58:29:624',9,-402.992004,-873.939758,377.733734,10.837719,3
85,'2020/04/21 19:58:29:749',9,-401.306763,-876.886597,376.98233,12.123272,3
86,'2020/04/21 19:58:29:870',9,-399.994537,-877.611511,376.92572,14.363154,3
87,'2020/04/21 19:58:29:993',9,-396.754211,-881.371826,377.821533,14.952421,3
88,'2020/04/21 19:58:30:118',9,-396.6315,-881.406311,377.943665,14.934942,3
89,'2020/04/21 19:58:30:242',9,-396.441101,-881.440002,377.916779,14.897004,3
90,'2020/04/21 19:58:30:364',9,-396.432343,-881.432739,377.920441,14.906034,3
91,'2020/04/21 19:58:30:490',9,-394.218445,-881.553589,380.651001,13.407275,3
92,'2020/04/21 19:58:30:623',9,-394.471893,-882.766479,380.094086,12.653947,3
93,'2020/04/21 19:58:30:776',9,-394.538269,-883.691528,380.69043,13.771966,3
94,'2020/04/21 19:58:30:908',9,-394.701202,-883.504272,380.692352,13.74954,3
95,'2020/04/21 19:58:31:034',9,-393.919952,-883.665161,381.684692,13.385042,3
96,'2020/04/21 19:58:31:159',9,-395.270477,-883.738098,380.25296,13.134808,3
97,'2020/04/21 19:58:31:284',9,-393.560547,-885.492493,381.157043,13.495713,3
98,'2020/04/21 19:59:00:069',10,-77.15657,-1035.012939,401.160858,-3.577054,4
99,'2020/04/21 19:59:00:200',10,-81.090401,-1033.785034,402.573273,-2.938479,4
100,'2020/04/21 19:59:00:328',10,-79.736038,-1032.20874,400.229767,-3.455997,4
101,'2020/04/21 19:59:00:455',10,-77.154694,-1032.019653,400.455811,-3.17353,4
102,'2020/04/21 19:59:00:578',10,-76.78363,-1031.609497,399.684479,-3.727928,4
103,'2020/04/21 19:59:00:700',10,-69.002365,-1036.847656,399.725494,-2.885983,4
104,'2020/04/21 19:59:00:826',10,-70.556725,-1035.218994,399.392426,-3.062069,4
105,'2020/04/21 19:59:00:948',10,-70.738731,-1032.633789,399.881989,-3.387779,4
106,'2020/04/21 19:59:01:072',10,-69.739288,-1034.703735,400.145782,-3.409266,4
107,'2020/04/21 19:59:01:199',10,-70.700279,-1034.224487,400.995819,-3.376201,4
108,'2020/04/21 19:59:01:328',10,-70.994186,-1033.560669,403.603607,-3.724977,4
109,'2020/04/21 19:59:01:469',10,-70.802612,-1033.12439,404.072968,-2.306923,4
110,'2020/04/21 19:59:37:885',11,-171.403122,3.175765,487.21582,-934.562561,5
111,'2020/04/21 19:59:38:014',11,-174.723404,3.79698,481.340698,-939.368286,5
112,'2020/04/21 19:59:38:143',11,-175.527267,7.929161,485.19455,-943.874573,5
113,'2020/04/21 19:59:38:272',11,-173.373444,7.35423,486.866821,-932.088135,5
114,'2020/04/21 19:59:38:412',11,-173.623016,6.565928,483.960693,-946.429626,5
115,'2020/04/21 19:59:38:556',11,-174.360077,7.587895,483.996552,-948.173462,5
116,'2020/04/21 19:59:38:683',11,-175.931351,7.85701,482.367859,-942.123535,5
117,'2020/04/21 19:59:38:811',11,-176.498764,8.690416,487.126099,-938.438416,5
118,'2020/04/21 19:59:38:936',11,-176.781509,8.646727,480.214386,-942.584534,5
119,'2020/04/21 19:59:39:059',11,-177.609665,8.532539,481.199066,-929.159424,5
120,'2020/04/21 19:59:39:182',11,-177.952316,8.668333,476.187195,-934.459656,5
