@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
37,'2020/05/08 10:53:46:978',2,-524.633179,-469.964813,372.234436,-54.984093,-321.843018,-485.067352,368.094788,-252.032822,-0.102107,-0.570479,2
38,'2020/05/08 10:53:47:054',2,-526.221497,-468.13916,372.955719,-55.260822,-324.62207,-483.067322,368.135986,-248.955612,-0.119381,-0.548336,2
39,'2020/05/08 10:53:47:123',2,-528.663147,-469.423218,374.630035,-53.473236,-325.189728,-481.779205,368.522919,-249.25145,-0.117974,-0.535293,2
40,'2020/05/08 10:53:47:196',2,-528.864014,-467.732788,375.195374,-54.708317,-324.954315,-479.052856,368.760834,-249.588425,-0.122847,-0.527772,2
41,'2020/05/08 10:53:47:265',2,-529.46106,-469.056519,377.290039,-53.810879,-324.407654,-479.164185,369.455383,-249.963318,-0.126764,-0.519389,2
42,'2020/05/08 10:53:47:336',2,-528.944214,-468.575134,377.952057,-53.220184,-324.846771,-479.832947,370.169861,-251.529663,-0.119753,-0.535027,2
43,'2020/05/08 10:53:47:404',2,-528.619751,-468.935883,379.835602,-53.592251,-325.311676,-480.197266,370.932861,-253.447144,-0.119747,-0.536722,2
44,'2020/05/08 10:53:47:470',2,-528.727173,-469.526276,379.568665,-53.503559,-325.334778,-480.294037,370.763641,-253.185654,-0.118849,-0.536054,2
45,'2020/05/08 10:53:47:537',2,-529.361084,-465.969666,376.666229,-53.485619,-325.099823,-479.984985,370.850403,-252.944885,-0.114209,-0.544801,2
46,'2020/05/08 10:53:47:605',2,-529.511414,-466.043732,376.631897,-53.453087,-325.124786,-480.009705,370.82196,-252.90567,-0.114243,-0.544619,2
47,'2020/05/08 10:53:47:673',2,-530.28241,-466.666199,375.652252,-54.143608,-325.719269,-480.134125,370.173706,-252.152557,-0.109003,-0.543149,2
48,'2020/05/08 10:53:47:744',2,-530.677551,-466.895569,375.422272,-54.121792,-325.813995,-480.251892,370.00943,-252.132721,-0.106133,-0.543864,2
49,'2020/05/08 10:53:47:820',2,-531.9729,-467.953278,375.167664,-53.399757,-326.285309,-479.841858,368.809174,-253.380234,-0.092336,-0.542147,2
50,'2020/05/08 10:53:47:893',2,-532.590149,-468.55899,374.28653,-53.459568,-326.753387,-480.243591,368.258179,-253.35199,-0.092006,-0.54247,2
51,'2020/05/08 10:53:47:965',2,-532.729553,-467.838257,373.535675,-53.441093,-326.913116,-480.40329,368.183441,-253.553268,-0.090413,-0.545864,2
52,'2020/05/08 10:53:48:032',2,-532.750916,-467.806793,373.531891,-53.44136,-326.916443,-480.390259,368.178986,-253.553925,-0.090417,-0.545869,2
53,'2020/05/08 10:53:48:099',2,-532.751221,-467.805786,373.53186,-53.44133,-326.916565,-480.389709,368.178925,-253.553894,-0.090418,-0.545869,2
54,'2020/05/08 10:53:48:173',2,-532.751892,-467.804871,373.531799,-53.441689,-326.91684,-480.389282,368.178833,-253.554108,-0.090416,-0.545869,2
55,'2020/05/08 10:53:48:247',2,-532.751892,-467.804871,373.531799,-53.441689,-326.91684,-480.389282,368.178833,-253.554108,-0.090416,-0.545869,2
56,'2020/05/08 10:53:48:326',2,-531.515015,-466.062714,373.041382,-55.402653,-326.570984,-480.562042,369.522766,-252.11171,-0.09907,-0.54066,2
