@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
156,'2020/05/08 10:56:24:834',6,-439.256836,-52.620514,403.882629,-751.344299,-466.330414,-256.129395,188.654205,-656.175293,-0.115509,0.24166,6
157,'2020/05/08 10:56:24:894',6,-439.256836,-52.620514,403.882629,-751.344299,-466.330414,-256.129395,188.654205,-656.175293,-0.115509,0.24166,6
158,'2020/05/08 10:56:24:959',6,-439.03302,-53.690536,402.983002,-751.41333,-466.964539,-256.363373,188.021103,-656.16156,-0.120766,0.233926,6
159,'2020/05/08 10:56:25:025',6,-438.235748,-53.123669,403.468506,-746.072998,-467.494537,-255.076462,186.406586,-655.204285,-0.123396,0.225329,6
160,'2020/05/08 10:56:25:088',6,-439.191833,-53.448738,403.688416,-744.258545,-467.978546,-255.240204,186.479294,-653.970825,-0.123387,0.225175,6
161,'2020/05/08 10:56:25:152',6,-439.759827,-54.052799,405.571686,-741.852173,-467.819397,-255.64978,187.845032,-652.541199,-0.118636,0.229913,6
162,'2020/05/08 10:56:51:138',7,-448.338287,-95.505554,257.263275,-193.446228,-471.185516,-295.316711,108.277946,-360.326111,-0.148494,-0.029691,7
163,'2020/05/08 10:56:51:204',7,-448.468506,-95.353333,257.348236,-193.51738,-471.226013,-295.330505,108.313751,-360.441559,-0.149131,-0.029259,7
164,'2020/05/08 10:56:51:270',7,-448.502991,-95.342995,257.358215,-193.517242,-471.243042,-295.344727,108.312828,-360.459259,-0.149335,-0.029196,7
165,'2020/05/08 10:56:51:337',7,-449.645386,-98.962753,259.188934,-195.892044,-472.720886,-296.052216,107.442574,-361.293182,-0.146284,-0.015084,7
166,'2020/05/08 10:56:51:404',7,-450.541901,-97.431076,257.524902,-196.097076,-471.347748,-294.668396,107.294662,-361.42276,-0.157359,-0.009009,7
167,'2020/05/08 10:56:51:469',7,-451.068024,-98.807259,257.22702,-196.046631,-471.80481,-294.876221,106.965897,-361.301727,-0.160085,-0.005829,7
168,'2020/05/08 10:56:51:533',7,-450.558655,-101.854919,258.933655,-196.932922,-472.605591,-295.474335,107.541801,-362.391144,-0.154685,0.004019,7
169,'2020/05/08 10:56:51:601',7,-451.711792,-101.294426,259.301422,-196.816193,-473.47818,-296.099457,107.553329,-362.032288,-0.155994,-0.001787,7
170,'2020/05/08 10:56:51:667',7,-450.786469,-103.884178,259.363159,-197.124847,-473.360992,-297.171478,107.987137,-362.482178,-0.15429,0.002834,7
171,'2020/05/08 10:56:51:733',7,-450.717133,-98.272903,260.015472,-197.949875,-471.389587,-295.066071,108.073563,-363.128845,-0.160849,0.002543,7
172,'2020/05/08 10:56:51:800',7,-451.307465,-97.955093,261.838196,-197.525665,-472.523315,-295.312134,108.660118,-362.858459,-0.152228,-0.007137,7
173,'2020/05/08 10:56:51:866',7,-454.425049,-97.202957,263.337524,-198.353699,-473.34552,-295.104462,109.792862,-363.219452,-0.153989,-0.007544,7
174,'2020/05/08 10:56:51:931',7,-454.728302,-97.791466,263.131073,-198.335999,-473.261993,-295.303406,109.968201,-363.392578,-0.1556,-0.004316,7
175,'2020/05/08 10:56:52:001',7,-453.930542,-97.74926,262.876007,-198.265381,-472.746704,-295.322754,110.134888,-363.697235,-0.157595,-0.006902,7
176,'2020/05/08 10:56:52:070',7,-450.241333,-98.174889,262.32785,-200.168518,-472.538055,-294.782318,108.56263,-363.920624,-0.163262,-0.001339,7
177,'2020/05/08 10:56:52:136',7,-452.202606,-98.510948,262.563934,-199.783188,-473.993286,-295.497589,108.814316,-363.753479,-0.168293,0.006254,7
178,'2020/05/08 10:56:52:202',7,-451.732391,-98.173347,262.565399,-199.8703,-473.495941,-295.362335,108.822342,-363.674591,-0.167552,0.006132,7
179,'2020/05/08 10:56:52:267',7,-451.760803,-98.146019,262.563751,-199.865143,-473.501648,-295.362183,108.822868,-363.674652,-0.167597,0.006157,7
180,'2020/05/08 10:56:52:334',7,-453.748322,-98.250549,262.549774,-199.28186,-473.990143,-295.949707,109.138802,-363.237305,-0.166221,0.005369,7
181,'2020/05/08 10:56:52:400',7,-454.901917,-98.539413,262.368317,-197.844543,-474.627625,-295.86557,108.960152,-362.448334,-0.167073,0.00379,7
182,'2020/05/08 10:56:52:466',7,-454.608643,-95.764954,262.809509,-198.299011,-473.170746,-295.117615,108.911263,-363.07962,-0.163687,0.003897,7
183,'2020/05/08 10:56:52:532',7,-457.154541,-98.812637,262.592194,-199.473618,-473.765381,-296.014465,109.144226,-363.439392,-0.163142,0.01498,7
184,'2020/05/08 10:56:52:600',7,-448.756958,-96.067162,263.463806,-198.78714,-471.387878,-292.627563,109.258339,-362.974396,-0.173449,0.024379,7
185,'2020/05/08 10:56:52:666',7,-445.420288,-96.527084,265.034882,-199.189743,-469.9104,-292.014282,109.882713,-362.774719,-0.165155,0.021912,7
186,'2020/05/08 10:56:52:732',7,-446.484192,-95.429482,265.934479,-199.178986,-469.711029,-291.676666,111.530273,-363.321075,-0.170234,0.020349,7
187,'2020/05/08 10:56:52:799',7,-447.26123,-95.43219,266.801605,-199.106201,-470.111206,-291.96936,112.105118,-363.06897,-0.169422,0.022763,7
188,'2020/05/08 10:56:52:865',7,-447.071747,-95.415352,266.85083,-199.089279,-470.041534,-291.950562,112.127441,-363.104828,-0.169489,0.022924,7
189,'2020/05/08 10:56:52:933',7,-448.022797,-94.925926,266.345978,-198.862762,-470.221863,-292.116516,111.966087,-362.906647,-0.169207,0.022344,7
190,'2020/05/08 10:57:22:706',8,-519.186218,-655.871521,-99.571915,-281.417694,-313.996704,-609.541626,104.627876,-398.373779,0.411848,-1.052262,8
191,'2020/05/08 10:57:22:769',8,-519.466309,-655.866272,-101.706131,-281.882843,-315.334625,-609.632874,103.284554,-396.741821,0.410957,-1.083132,8
192,'2020/05/08 10:57:22:829',8,-519.552124,-656.34845,-103.081284,-282.935486,-314.720673,-609.752197,102.875786,-396.696991,0.411638,-1.072229,8
193,'2020/05/08 10:57:22:891',8,-522.861877,-655.828491,-107.529076,-282.983429,-317.73407,-609.50293,98.273056,-397.089966,0.419123,-1.076626,8
194,'2020/05/08 10:57:22:953',8,-524.151794,-655.49408,-109.813225,-285.691895,-318.601807,-608.332642,98.490166,-396.455719,0.416512,-1.055003,8
195,'2020/05/08 10:57:23:015',8,-522.031311,-656.98114,-110.024277,-284.925049,-318.769348,-608.477783,97.664658,-396.603394,0.41612,-1.05572,8
196,'2020/05/08 10:57:23:074',8,-523.315308,-658.074036,-107.977661,-283.087067,-318.730408,-608.201233,98.410576,-396.157684,0.402675,-1.034638,8
197,'2020/05/08 10:57:23:138',8,-523.502136,-658.956787,-107.075096,-282.534149,-318.590698,-608.763367,98.997353,-396.093384,0.40402,-1.032971,8
198,'2020/05/08 10:57:23:201',8,-525.027161,-658.942383,-102.076408,-273.714233,-320.02832,-609.776306,98.385918,-395.426758,0.397077,-1.049196,8
199,'2020/05/08 10:57:23:263',8,-525.583008,-659.010986,-101.220612,-272.281769,-320.339264,-609.945313,98.721222,-394.926544,0.395531,-1.048275,8
200,'2020/05/08 10:57:23:323',8,-528.026245,-660.268982,-102.101715,-273.226257,-322.506836,-610.486328,100.607979,-392.564484,0.393872,-1.042058,8
201,'2020/05/08 10:57:23:384',8,-529.157532,-662.162354,-105.92498,-274.765717,-325.343781,-609.980835,97.971275,-392.405884,0.40355,-1.008596,8
202,'2020/05/08 10:57:23:444',8,-530.250916,-662.13147,-108.765007,-275.972839,-326.238037,-610.01239,96.608925,-392.098846,0.396716,-1.011875,8
203,'2020/05/08 10:57:23:506',8,-531.768127,-661.970154,-110.721497,-275.436005,-327.255432,-609.755188,95.379326,-391.473785,0.40126,-1.013447,8
204,'2020/05/08 10:57:23:574',8,-534.210693,-662.289124,-113.012268,-274.641266,-328.994629,-610.511719,92.434631,-392.055389,0.402612,-1.008346,8
205,'2020/05/08 10:57:23:642',8,-534.014771,-663.119263,-112.716812,-273.81366,-328.827179,-611.246826,92.578354,-391.528137,0.400292,-1.01051,8
206,'2020/05/08 10:57:23:704',8,-534.012817,-663.101746,-112.727013,-273.814972,-328.831268,-611.237793,92.570824,-391.525299,0.400262,-1.010558,8
207,'2020/05/08 10:57:23:769',8,-533.966003,-663.225464,-113.255264,-274.062408,-328.937836,-611.385559,92.178909,-391.524841,0.399317,-1.012231,8
208,'2020/05/08 10:57:23:835',8,-533.894287,-666.131348,-117.264046,-277.705872,-329.198639,-612.053772,90.388222,-391.737518,0.400144,-0.98572,8
209,'2020/05/08 10:57:23:901',8,-536.538452,-664.298889,-118.31398,-277.94809,-331.723785,-611.94574,84.934128,-395.754883,0.403898,-1.037452,8
210,'2020/05/08 10:57:23:968',8,-536.454468,-663.749329,-122.841972,-282.391541,-332.240997,-611.007019,84.35257,-396.489624,0.40501,-1.028729,8
211,'2020/05/08 10:57:24:030',8,-537.905273,-664.382141,-125.081512,-283.723297,-332.856049,-612.104248,82.931343,-397.085266,0.401132,-1.033347,8
212,'2020/05/08 10:57:24:093',8,-537.042847,-664.095398,-124.877197,-288.509644,-332.658813,-611.489746,83.610954,-399.441528,0.417736,-1.028264,8
213,'2020/05/08 10:57:24:155',8,-537.727051,-664.821472,-125.214638,-289.445038,-332.523407,-612.409729,83.899033,-399.657227,0.417308,-1.02788,8
214,'2020/05/08 10:57:24:217',8,-540.836426,-665.414185,-121.659592,-289.256256,-334.488434,-614.579834,87.166382,-399.419891,0.432009,-1.068223,8
215,'2020/05/08 10:57:24:279',8,-536.277954,-668.334473,-119.092522,-285.816223,-332.100677,-614.896667,86.117401,-399.786224,0.421034,-1.045377,8
216,'2020/05/08 10:57:49:495',9,-448.781677,-1025.620728,-181.474091,-290.714203,-342.657867,-829.647156,10.861858,-407.234497,0.459399,-0.563608,9
217,'2020/05/08 10:57:49:561',9,-449.109436,-1026.031982,-180.438675,-286.526428,-342.803131,-830.13092,9.625539,-407.451691,0.455467,-0.562386,9
218,'2020/05/08 10:57:49:633',9,-448.532715,-1025.822998,-180.819366,-286.601593,-342.178284,-830.21167,9.157226,-406.862427,0.454931,-0.570513,9
219,'2020/05/08 10:57:49:724',9,-448.433685,-1026.107788,-179.981598,-284.839111,-342.100983,-829.789734,9.035722,-406.336853,0.453079,-0.560177,9
220,'2020/05/08 10:57:49:804',9,-447.806793,-1026.373901,-179.064026,-284.000702,-342.661987,-830.233093,9.663939,-406.990509,0.454932,-0.567656,9
221,'2020/05/08 10:57:49:884',9,-447.406921,-1027.551636,-176.485382,-280.8172,-341.416138,-830.991699,6.713167,-409.996979,0.444512,-0.562516,9
222,'2020/05/08 10:57:49:956',9,-447.087585,-1027.623535,-177.678589,-281.502777,-341.105591,-832.293884,9.63144,-407.243866,0.452202,-0.566251,9
223,'2020/05/08 10:57:50:015',9,-448.310852,-1028.194336,-178.779831,-281.855164,-339.416809,-832.641724,8.865804,-406.807495,0.437095,-0.56845,9
224,'2020/05/08 10:57:50:078',9,-444.433044,-1028.031616,-178.456772,-282.848267,-338.215179,-832.612427,9.791464,-407.815338,0.446189,-0.567835,9
225,'2020/05/08 10:57:50:144',9,-445.191956,-1028.584106,-180.839584,-283.396179,-339.066101,-832.263977,8.724928,-407.239563,0.44009,-0.5567,9
226,'2020/05/08 10:57:50:207',9,-443.563385,-1029.797852,-182.33046,-282.878693,-338.568878,-833.662048,6.990656,-408.105072,0.441856,-0.564043,9
227,'2020/05/08 10:57:50:270',9,-445.08136,-1029.76416,-183.989182,-282.336823,-339.11911,-833.975281,10.256499,-402.599823,0.449001,-0.565585,9
228,'2020/05/08 10:57:50:335',9,-443.895233,-1031.146973,-183.103775,-282.252625,-338.567444,-835.085632,9.58915,-401.468628,0.443073,-0.568846,9
229,'2020/05/08 10:57:50:401',9,-439.969849,-1030.293945,-179.911179,-282.921082,-337.926758,-832.93042,10.068401,-404.643768,0.447753,-0.546523,9
230,'2020/05/08 10:57:50:468',9,-439.482544,-1029.747925,-178.745529,-283.511963,-338.366974,-832.679565,12.582243,-403.215637,0.450569,-0.560979,9
231,'2020/05/08 10:57:50:534',9,-441.000153,-1030.587036,-180.397049,-283.271057,-337.437683,-834.310181,10.636062,-402.9104,0.453733,-0.57422,9
232,'2020/05/08 10:57:50:600',9,-439.991364,-1030.714844,-180.832733,-283.272736,-338.424377,-833.240112,10.049746,-402.487915,0.451079,-0.556091,9
233,'2020/05/08 10:57:50:666',9,-439.656616,-1029.510864,-179.090622,-283.825531,-337.836853,-832.282166,9.055242,-406.928589,0.451764,-0.555167,9
234,'2020/05/08 10:57:50:734',9,-439.617737,-1029.98938,-180.693314,-284.501434,-337.391449,-833.412537,7.674649,-407.115997,0.452673,-0.562861,9
235,'2020/05/08 10:57:50:799',9,-439.216614,-1028.639038,-180.099197,-284.995667,-336.755707,-832.565308,7.87884,-407.65625,0.451948,-0.564174,9
236,'2020/05/08 10:57:50:873',9,-438.387756,-1028.629272,-182.280609,-285.847839,-337.326294,-831.86322,8.080229,-408.004242,0.44767,-0.559069,9
237,'2020/05/08 10:57:50:948',9,-438.226105,-1031.515381,-180.710007,-286.47525,-337.049042,-834.916565,11.051908,-407.99939,0.455828,-0.557317,9
238,'2020/05/08 10:57:51:012',9,-438.308716,-1030.725586,-181.836807,-287.553802,-336.369446,-834.105164,10.720671,-408.475311,0.452114,-0.549306,9
239,'2020/05/08 10:57:51:076',9,-438.567139,-1031.257568,-182.291504,-286.189697,-336.521332,-834.649231,10.484144,-406.889069,0.450912,-0.550949,9
240,'2020/05/08 10:57:51:140',9,-438.479187,-1032.306152,-181.319717,-284.60611,-337.152985,-835.116882,12.278125,-405.329407,0.453856,-0.549207,9
241,'2020/05/08 10:57:51:205',9,-439.183807,-1033.385254,-180.237167,-285.40802,-337.106812,-835.3255,10.22996,-407.625122,0.457651,-0.5457,9
242,'2020/05/08 10:57:51:269',9,-439.533722,-1033.234375,-178.826187,-284.371857,-336.965454,-835.885071,10.121658,-408.032288,0.461802,-0.553618,9
243,'2020/05/08 10:57:51:335',9,-439.45993,-1032.921265,-180.826202,-284.781555,-337.689941,-835.604919,10.645687,-406.116272,0.460283,-0.558985,9
244,'2020/05/08 10:57:51:400',9,-439.323853,-1034.446167,-180.528763,-284.945892,-337.233459,-836.103516,10.613739,-406.928833,0.462444,-0.541117,9
245,'2020/05/08 10:57:51:464',9,-438.891144,-1034.521851,-180.796722,-286.331573,-337.349945,-835.84668,11.384159,-407.65387,0.462645,-0.535789,9
246,'2020/05/08 10:57:51:529',9,-439.167908,-1032.98999,-180.759476,-286.24762,-336.495056,-836.033447,11.417955,-407.844818,0.46648,-0.559357,9
247,'2020/05/08 10:57:51:593',9,-438.4104,-1037.065796,-181.492752,-286.157837,-336.879944,-837.62146,14.456347,-403.47464,0.465554,-0.529775,9
248,'2020/05/08 10:57:51:659',9,-434.45282,-1036.78125,-179.111115,-286.788849,-337.517883,-837.079285,13.995722,-408.319824,0.46342,-0.532352,9
249,'2020/05/08 10:57:51:724',9,-434.625244,-1037.159058,-179.391205,-286.224915,-336.22168,-837.697571,16.304388,-405.57428,0.468723,-0.535807,9
250,'2020/05/08 10:57:51:786',9,-434.781158,-1035.553955,-178.91304,-287.596741,-336.455688,-836.895874,15.842393,-407.443207,0.467431,-0.543951,9
251,'2020/05/08 10:57:51:851',9,-434.624664,-1035.900146,-177.191864,-288.35553,-336.992676,-836.259155,15.674755,-408.076355,0.46944,-0.535281,9
252,'2020/05/08 10:57:51:918',9,-434.663239,-1037.035034,-177.271011,-289.222748,-336.552277,-836.975037,16.957104,-407.627594,0.473304,-0.527778,9
253,'2020/05/08 10:57:52:007',9,-434.558685,-1036.071899,-178.047028,-287.985748,-336.774658,-835.606506,17.153471,-405.392761,0.474848,-0.517107,9
254,'2020/05/08 10:58:29:571',10,-213.390762,-1184.357544,701.627136,-559.028931,-226.727402,-948.828369,464.153687,-557.141052,-0.115661,0.029484,10
255,'2020/05/08 10:58:29:637',10,-214.473755,-1182.227051,701.162903,-558.766296,-226.357269,-947.541687,464.161224,-557.782715,-0.117765,0.035188,10
256,'2020/05/08 10:58:29:703',10,-213.677551,-1181.633667,701.511353,-559.055298,-224.846191,-947.128174,464.769104,-558.379028,-0.117626,0.042517,10
257,'2020/05/08 10:58:29:767',10,-213.677109,-1181.633423,701.51178,-559.055908,-224.845856,-947.128479,464.769592,-558.379639,-0.117625,0.042513,10
258,'2020/05/08 10:58:29:847',10,-217.332336,-1180.61377,701.453491,-560.627441,-225.923111,-946.559204,464.657654,-561.897095,-0.123413,0.042289,10
259,'2020/05/08 10:58:29:914',10,-218.619904,-1181.08374,700.431641,-560.303406,-225.570801,-946.771851,463.475037,-563.601501,-0.113691,0.047698,10
260,'2020/05/08 10:58:29:978',10,-218.112061,-1179.85437,701.076294,-559.664917,-225.856262,-945.625061,464.251038,-563.848145,-0.104093,0.040294,10
261,'2020/05/08 10:58:30:043',10,-218.837418,-1180.310669,700.52887,-560.104736,-225.482407,-945.735596,463.736877,-564.733765,-0.106559,0.032511,10
262,'2020/05/08 10:58:30:106',10,-217.90274,-1179.112915,701.78418,-560.781067,-225.931488,-945.361267,464.805908,-564.540466,-0.115985,0.05045,10
263,'2020/05/08 10:58:30:173',10,-217.958694,-1180.081055,701.115723,-561.207397,-225.41304,-946.053833,464.254913,-564.788635,-0.11446,0.035106,10
264,'2020/05/08 10:58:30:238',10,-218.53479,-1180.373169,701.082153,-560.868286,-225.135239,-945.795532,464.10083,-565.204712,-0.111844,0.031789,10
265,'2020/05/08 10:58:30:301',10,-222.116135,-1181.639404,701.359741,-561.034607,-225.851868,-946.719971,464.266846,-564.547791,-0.108776,0.036552,10
266,'2020/05/08 10:58:30:365',10,-221.92366,-1182.004639,701.40448,-560.570068,-227.455688,-946.557007,464.095734,-564.223083,-0.112584,0.021496,10
267,'2020/05/08 10:58:30:427',10,-221.710068,-1179.608765,700.613953,-560.333252,-230.179214,-945.198425,463.580536,-563.959595,-0.111693,0.032341,10
268,'2020/05/08 10:58:30:491',10,-222.129639,-1180.806885,701.06189,-560.497314,-229.523834,-945.506348,463.942291,-564.529663,-0.105104,0.014535,10
269,'2020/05/08 10:58:30:554',10,-221.038239,-1176.694092,701.032776,-560.556335,-230.422699,-943.015076,464.187531,-564.448486,-0.108962,0.051138,10
270,'2020/05/08 10:58:30:618',10,-221.126251,-1177.212402,701.076294,-560.666321,-230.137146,-943.419678,464.074524,-563.218018,-0.118828,0.054383,10
271,'2020/05/08 10:58:30:682',10,-221.288071,-1179.432739,700.927734,-560.743469,-230.2435,-944.670349,463.810028,-563.488831,-0.110886,0.04198,10
272,'2020/05/08 10:58:30:744',10,-221.860977,-1178.7052,700.787659,-559.724976,-230.303329,-944.104431,463.64621,-563.019043,-0.10593,0.041583,10
273,'2020/05/08 10:58:30:807',10,-221.912918,-1178.562622,700.375366,-558.903381,-229.66597,-943.640381,463.425079,-563.166138,-0.10028,0.041587,10
274,'2020/05/08 10:58:30:869',10,-220.854477,-1178.290161,700.602844,-559.194275,-229.753601,-943.489807,463.553589,-561.861328,-0.10747,0.036776,10
275,'2020/05/08 10:58:30:932',10,-221.210388,-1176.490967,700.726379,-559.626404,-231.673355,-942.552734,463.807098,-561.876465,-0.112677,0.042903,10
276,'2020/05/08 10:58:30:996',10,-221.190674,-1176.186035,700.17572,-559.798218,-230.385773,-942.564026,463.397064,-560.780273,-0.111401,0.044076,10
277,'2020/05/08 10:58:31:059',10,-220.598755,-1176.108887,700.839905,-559.737122,-230.435013,-942.327637,463.960175,-561.865906,-0.107873,0.041864,10
278,'2020/05/08 10:58:31:123',10,-220.71582,-1176.170654,700.300476,-558.83252,-230.694031,-943.088562,463.450562,-561.194885,-0.107836,0.063009,10
279,'2020/05/08 10:58:31:190',10,-220.795776,-1174.548462,700.378052,-559.062378,-231.668884,-941.039551,463.586395,-561.46637,-0.109895,0.038516,10
280,'2020/05/08 10:58:31:273',10,-220.683151,-1174.84729,700.0755,-558.77594,-231.574417,-941.411255,463.310547,-561.238892,-0.109659,0.040903,10
281,'2020/05/08 10:58:31:340',10,-221.943344,-1176.25293,699.878418,-558.615723,-233.578812,-942.380554,462.83078,-559.460938,-0.107592,0.034511,10
282,'2020/05/08 10:58:31:401',10,-221.449646,-1175.932861,702.344421,-558.839417,-233.74144,-941.83197,464.92627,-560.17334,-0.101729,0.01743,10
283,'2020/05/08 10:58:31:467',10,-221.021423,-1175.687256,702.483765,-557.48999,-232.673782,-941.524231,465.299377,-559.656128,-0.093848,0.020165,10
284,'2020/05/08 10:58:31:533',10,-221.186478,-1174.823975,703.947327,-558.729248,-233.446686,-941.173645,466.485718,-558.956604,-0.112528,0.031502,10
285,'2020/05/08 10:58:31:596',10,-221.152084,-1174.886108,703.926086,-558.736572,-233.435898,-941.215027,466.459686,-558.982544,-0.112822,0.031648,10
286,'2020/05/08 10:58:31:657',10,-221.132736,-1174.851807,703.915466,-558.704956,-233.433212,-941.195068,466.451874,-558.963684,-0.112829,0.03155,10
287,'2020/05/08 10:58:31:721',10,-220.010345,-1174.248169,702.784973,-558.053345,-233.121414,-940.764771,465.559967,-558.502502,-0.113069,0.034854,10
288,'2020/05/08 10:58:31:783',10,-219.993103,-1174.239014,702.787781,-558.05896,-233.115158,-940.764648,465.562317,-558.509521,-0.113126,0.034762,10
289,'2020/05/08 10:58:31:847',10,-220.216583,-1173.880127,702.383545,-559.403809,-233.157578,-940.468933,465.254639,-559.347473,-0.120161,0.035183,10
290,'2020/05/08 10:58:31:907',10,-220.216583,-1173.880127,702.383545,-559.403809,-233.157578,-940.468933,465.254639,-559.347473,-0.120161,0.035183,10
291,'2020/05/08 10:58:56:798',11,-452.180817,-156.322037,251.58522,-1159.491333,-334.502075,-348.623383,269.539368,-928.958191,0.170064,0.235302,11
292,'2020/05/08 10:58:56:864',11,-451.243591,-154.345688,251.739883,-1160.432861,-334.288422,-348.235321,269.071045,-928.921631,0.173787,0.250498,11
293,'2020/05/08 10:58:56:928',11,-451.511658,-155.489777,251.91864,-1161.107056,-334.200928,-348.744751,269.139038,-929.641357,0.172203,0.244933,11
294,'2020/05/08 10:58:56:994',11,-451.561615,-155.757339,252.211929,-1161.365601,-333.957489,-349.018524,269.613617,-929.761169,0.169143,0.243376,11
295,'2020/05/08 10:58:57:059',11,-450.244965,-155.110962,252.437592,-1162.272339,-333.977936,-348.737946,270.69223,-929.776672,0.174955,0.262086,11
296,'2020/05/08 10:58:57:120',11,-451.384735,-155.101456,252.317215,-1162.477417,-333.768433,-348.947632,271.129242,-930.397644,0.176019,0.256829,11
297,'2020/05/08 10:58:57:184',11,-452.051788,-155.650925,265.950806,-1157.324707,-334.558075,-347.954895,276.305298,-924.41394,0.163381,0.254792,11
298,'2020/05/08 10:58:57:246',11,-453.653534,-156.369339,269.188934,-1155.650513,-334.625183,-347.762085,276.687042,-922.578735,0.172964,0.270184,11
299,'2020/05/08 10:58:57:310',11,-454.048462,-154.977112,255.711823,-1158.112427,-335.632507,-346.608704,273.801788,-926.299194,0.165755,0.245754,11
300,'2020/05/08 10:58:57:375',11,-454.117798,-153.447861,255.864288,-1160.545288,-334.631134,-345.543213,274.07193,-927.879883,0.169055,0.25924,11
301,'2020/05/08 10:58:57:457',11,-453.797821,-153.862167,256.148041,-1160.572876,-334.791168,-345.056915,274.441071,-927.848999,0.172844,0.261658,11
302,'2020/05/08 10:58:57:522',11,-454.367981,-151.39357,256.593842,-1161.230225,-335.49057,-344.735077,274.667847,-927.742554,0.173468,0.268946,11
303,'2020/05/08 10:58:57:585',11,-454.110321,-151.177567,263.672699,-1156.822876,-335.284302,-344.314331,277.740967,-923.531311,0.170063,0.264627,11
304,'2020/05/08 10:58:57:649',11,-453.007751,-152.271713,270.47049,-1153.992065,-335.678711,-345.030151,279.02533,-921.457825,0.159511,0.246284,11
305,'2020/05/08 10:58:57:712',11,-453.2854,-151.687653,256.117859,-1158.530762,-335.302185,-345.041077,274.085815,-926.004883,0.172825,0.264894,11
306,'2020/05/08 10:58:57:773',11,-451.657593,-152.278107,255.764572,-1158.17395,-333.437195,-345.522766,274.400146,-926.059631,0.172211,0.260538,11
307,'2020/05/08 10:58:57:835',11,-450.931854,-153.658218,260.601227,-1155.622803,-333.909912,-345.404968,275.634644,-923.303345,0.171883,0.263854,11
308,'2020/05/08 10:58:57:899',11,-450.476471,-152.464935,251.815613,-1156.974243,-334.496002,-344.475922,272.376068,-925.690613,0.170867,0.251163,11
309,'2020/05/08 10:58:57:964',11,-449.163635,-151.887863,254.399033,-1154.1698,-334.009827,-344.872894,275.692413,-923.184509,0.177521,0.261898,11
310,'2020/05/08 10:58:58:031',11,-449.185059,-151.832535,254.080826,-1154.213257,-334.021118,-344.850433,275.537781,-923.260254,0.17795,0.262221,11
311,'2020/05/08 10:58:58:094',11,-449.185486,-151.831558,254.078262,-1154.212891,-334.02121,-344.850159,275.536652,-923.260437,0.17796,0.262229,11
312,'2020/05/08 10:58:58:158',11,-448.135193,-151.769547,251.03894,-1155.765259,-334.180481,-345.090973,273.318054,-924.392822,0.191107,0.282003,11
313,'2020/05/08 10:58:58:223',11,-448.136444,-151.763702,251.02597,-1155.763184,-334.180542,-345.088776,273.312653,-924.39325,0.191151,0.282038,11
314,'2020/05/08 10:58:58:287',11,-449.750946,-151.074112,246.661911,-1153.24353,-334.792267,-344.227905,273.276215,-924.850952,0.192991,0.252013,11
315,'2020/05/08 10:58:58:351',11,-446.235413,-146.952072,247.870102,-1155.484131,-331.790497,-341.927826,271.515778,-924.986572,0.196028,0.281751,11
316,'2020/05/08 10:58:58:417',11,-447.745819,-145.845322,247.738327,-1156.961304,-331.773346,-340.738281,269.194977,-926.277893,0.19514,0.280853,11
317,'2020/05/08 10:58:58:494',11,-448.0672,-146.242935,247.426743,-1157.371216,-332.746613,-340.772797,269.053986,-926.197144,0.194739,0.284717,11
318,'2020/05/08 10:58:58:564',11,-448.165558,-146.271515,247.365829,-1157.310913,-332.774811,-340.816071,269.047882,-926.168213,0.195238,0.285031,11
319,'2020/05/08 10:58:58:625',11,-448.167023,-146.269974,247.360535,-1157.307861,-332.775421,-340.815308,269.045654,-926.166687,0.195263,0.285049,11
320,'2020/05/08 10:58:58:690',11,-448.073303,-146.225266,247.049835,-1157.128662,-332.74292,-340.734894,268.963165,-926.058105,0.196043,0.285572,11
321,'2020/05/08 10:58:58:753',11,-447.708313,-145.889786,246.822098,-1155.560425,-332.403961,-341.102722,270.297363,-925.927124,0.191837,0.266524,11
322,'2020/05/08 10:58:58:817',11,-449.272858,-145.841629,247.273193,-1156.211182,-332.89801,-340.464355,269.977936,-925.702332,0.197683,0.282191,11
323,'2020/05/08 10:58:58:879',11,-448.427704,-145.263611,247.476532,-1156.179688,-332.812714,-340.519226,269.836823,-924.903015,0.206788,0.298947,11
324,'2020/05/08 10:58:58:943',11,-449.220062,-146.649429,247.737137,-1154.564819,-333.013916,-340.844177,272.054352,-924.033508,0.199291,0.286659,11
325,'2020/05/08 10:58:59:008',11,-449.080109,-146.788086,260.085175,-1146.436035,-332.704987,-340.051636,278.173584,-916.16095,0.199733,0.284736,11
326,'2020/05/08 10:58:59:074',11,-449.000763,-145.075302,251.834091,-1151.02478,-332.536774,-339.798859,273.480011,-920.267639,0.210529,0.299156,11
